car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,price_usd,co2_emissions_g_km,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold
17,1 Series,2015,1.7,221,hybrid,manual,FWD,133510,4.8,16746,110,3,5,hatchback,blue,3,no,partial,Spain
18,5 Series,2019,2.6,229,petrol,automatic,RWD,103108,7.8,49589,179,4,5,sedan,white,2,no,full,France
19,X1,2022,2.3,211,diesel,automatic,AWD,22229,7.4,36065,152,5,5,suv,silver,2,yes,full,Spain
20,i4,2022,0,461,electric,automatic,RWD,27350,0,93406,0,4,5,coupe,grey,1,no,full,Italy
21,X5,2022,3.7,247,diesel,automatic,AWD,31770,7.9,81968,187,5,5,suv,silver,,no,full,Spain
22,5 Series,2010,2.4,263,diesel,automatic,AWD,219901,,26161,144,4,5,sedan,blue,3,,none,France
23,X3,2009,3,274,diesel,automatic,AWD,294167,7.3,25674,146,5,5,suv,white,3,no,partial,Italy
24,3 Series,2024,2.9,268,petrol,manual,AWD,0,9,46422,200,4,5,sedan,black,1,no,full,Turkey
25,3 Series,2023,3.1,267,petrol,automatic,RWD,35833,9.3,49093,217,4,5,sedan,silver,1,no,full,Germany
26,1 Series,2019,1.6,167,petrol,automatic,RWD,54980,,18388,142,3,5,hatchback,,2,yes,none,Netherlands
27,i4,2010,0,330,electric,automatic,AWD,300000,,31781,0,4,5,coupe,black,3,yes,partial,France
28,3 Series,2019,1.7,169,diesel,automatic,RWD,88339,6.3,32413,135,4,5,sedan,silver,2,no,partial,UK
29,X5,2023,4.3,359,diesel,automatic,AWD,4879,9.8,86658,208,5,5,suv,white,0,no,partial,Netherlands
30,X5,2005,4.2,302,petrol,automatic,AWD,300000,10.4,33156,215,5,5,suv,white,5,no,partial,France
31,1 Series,2011,2.3,244,petrol,manual,RWD,278651,7.8,7709,184,5,5,hatchback,white,3,yes,partial,USA
32,i3,2006,,141,electric,automatic,RWD,300000,0,12210,0,5,4,hatchback,silver,3,,full,Netherlands
33,1 Series,2015,2.3,244,hybrid,automatic,FWD,216375,4.9,17089,101,5,4,hatchback,white,2,no,full,Netherlands
34,5 Series,2011,4.2,373,petrol,automatic,RWD,188618,11,38995,244,4,5,sedan,blue,4,no,partial,Turkey
35,X7,2023,3.2,354,diesel,automatic,AWD,0,8.4,124163,199,5,5,suv,grey,0,no,full,Spain
36,i7,2017,0,310,electric,automatic,AWD,114304,0,119103,0,4,5,sedan,silver,3,,partial,Germany
37,X3,2021,3.3,246,diesel,automatic,AWD,57536,7.9,58877,187,5,5,suv,red,0,no,full,Italy
38,Z4,2014,2.9,249,petrol,automatic,RWD,132593,9,43232,188,2,2,convertible,black,,no,partial,Germany
39,X3,2024,2.9,269,hybrid,automatic,AWD,22173,5.5,58267,136,5,5,suv,black,0,yes,full,Turkey
40,X1,2013,2.4,168,diesel,automatic,AWD,182589,5.8,25251,135,5,5,suv,silver,3,yes,full,UK
41,X7,2022,3.7,363,diesel,automatic,AWD,20083,8.7,112573,199,5,5,suv,black,1,no,full,France
42,1 Series,2012,2.2,207,diesel,manual,RWD,154396,6.8,17196,159,5,5,hatchback,black,3,no,partial,USA
43,X1,2014,1.9,181,petrol,automatic,FWD,159208,6.4,25310,127,5,5,suv,silver,1,no,none,Netherlands
44,1 Series,2009,1.5,192,petrol,manual,FWD,88691,7.7,16469,180,3,5,hatchback,red,2,no,partial,France
45,7 Series,2019,5,450,petrol,automatic,AWD,101913,12.5,89535,286,4,5,sedan,white,1,yes,full,Spain
46,X5,2014,4.2,401,diesel,automatic,AWD,152975,9.1,55293,204,5,5,suv,white,4,yes,full,Italy
47,X1,2019,1.8,160,hybrid,automatic,FWD,91197,3.8,38341,82,5,5,suv,silver,,no,full,Italy
48,X5,2018,4.4,357,petrol,automatic,AWD,93440,,72531,242,5,5,suv,white,1,no,full,Netherlands
49,3 Series,2023,2,145,hybrid,automatic,AWD,15502,4.5,40011,110,4,5,sedan,blue,1,no,full,Netherlands
50,X5,2006,4.4,369,hybrid,automatic,AWD,300000,7.1,31364,159,5,5,suv,silver,3,yes,partial,Italy
51,3 Series,2010,2.9,195,hybrid,automatic,RWD,207327,5.2,22175,122,4,5,sedan,black,3,no,full,Germany
52,X1,2009,1.8,182,petrol,automatic,FWD,225817,8.1,20357,168,5,5,suv,grey,,yes,full,USA
53,3 Series,2012,1.9,230,diesel,automatic,AWD,101751,6.6,19049,144,4,5,sedan,black,5,yes,none,UK
54,7 Series,2016,4.4,409,petrol,automatic,RWD,178059,12.1,87622,249,4,4,sedan,grey,3,no,full,USA
55,3 Series,2009,2.5,293,petrol,manual,AWD,250984,8.6,18557,198,4,5,sedan,black,5,yes,partial,Germany
56,X7,2021,3.7,335,diesel,automatic,AWD,37497,8.5,103058,,5,5,suv,blue,1,no,partial,Netherlands
57,i7,2013,0,403,electric,automatic,AWD,211171,0,113907,0,4,4,sedan,silver,3,no,full,USA
58,X1,2024,1.7,205,diesel,automatic,FWD,7583,5.6,50000,126,5,5,suv,blue,1,no,full,USA
59,X1,2021,2,205,petrol,automatic,FWD,35448,7.6,42711,173,5,5,suv,black,0,no,full,France
60,X5,2023,3.9,335,hybrid,automatic,AWD,9725,6.8,98217,153,5,5,suv,grey,0,no,full,USA
61,5 Series,2024,3.6,329,diesel,automatic,RWD,0,9.2,72089,197,4,5,sedan,grey,1,no,full,Spain
62,i3,2022,0,191,electric,automatic,RWD,16375,0,60504,0,5,4,hatchback,blue,1,no,full,France
63,3 Series,2022,1.9,191,petrol,automatic,AWD,51436,7.6,40983,165,4,5,sedan,black,1,no,full,Turkey
64,1 Series,2009,2.7,251,petrol,automatic,RWD,128644,8.7,13076,186,3,4,hatchback,silver,4,no,none,Italy
65,5 Series,2016,2.1,225,petrol,automatic,RWD,88904,7.3,40768,153,4,5,sedan,white,1,no,partial,USA
66,3 Series,2018,1.7,195,diesel,manual,RWD,81422,6.1,32314,150,4,5,sedan,black,1,no,partial,France
67,X5,2012,3.7,319,petrol,automatic,AWD,244979,9.2,56519,198,5,5,suv,blue,2,yes,full,Netherlands
68,3 Series,2020,2.3,221,petrol,automatic,RWD,0,7.6,42025,164,4,5,sedan,white,1,no,full,France
69,X1,2012,1.9,190,hybrid,automatic,FWD,140636,4.7,29751,107,5,5,suv,white,3,no,full,Netherlands
70,3 Series,2023,2.5,226,petrol,manual,RWD,47227,7.8,43855,163,4,5,sedan,black,0,no,full,Italy
71,1 Series,2014,1.9,224,petrol,manual,FWD,86069,7,20742,138,5,4,hatchback,black,3,no,partial,Italy
72,5 Series,2024,3.9,314,petrol,automatic,AWD,0,10.5,66190,234,4,5,sedan,silver,0,no,full,Turkey
73,7 Series,2019,4.9,340,petrol,automatic,AWD,51521,12.7,99611,272,4,4,sedan,silver,2,no,full,Germany
74,3 Series,2018,3,266,diesel,automatic,AWD,114679,8.6,31678,202,4,5,sedan,,4,no,full,Turkey
75,X5,2023,3.7,321,petrol,automatic,AWD,210,10.3,100845,245,5,5,suv,silver,0,no,full,France
76,Z4,2011,2.6,244,petrol,,RWD,59371,9.1,46446,198,2,2,convertible,grey,4,no,full,USA
77,5 Series,2023,2.1,220,diesel,automatic,AWD,11230,6.5,61039,143,4,5,sedan,silver,0,no,full,France
78,1 Series,2024,2.7,314,petrol,manual,RWD,32528,8.9,29843,189,3,4,hatchback,black,0,no,partial,Spain
79,i4,2022,0,368,electric,automatic,RWD,52810,,85559,0,4,5,coupe,silver,2,no,full,Netherlands
80,i4,2008,0,440,electric,automatic,RWD,290913,0,41126,0,4,5,coupe,grey,4,no,full,Turkey
81,X5,2017,3.6,306,hybrid,automatic,AWD,50939,6.7,67339,138,5,5,suv,blue,2,no,partial,Germany
82,X1,2024,2.5,276,petrol,automatic,AWD,0,8.3,62183,189,5,5,suv,grey,0,no,full,Germany
83,5 Series,2008,3.1,311,diesel,automatic,RWD,239410,8,24077,180,4,5,sedan,white,4,no,partial,Netherlands
84,3 Series,2017,2.6,239,petrol,automatic,RWD,79159,,32490,186,4,5,sedan,silver,1,no,full,Turkey
85,1 Series,2022,2.7,300,hybrid,automatic,FWD,51785,6.1,32322,137,5,5,hatchback,grey,1,no,partial,UK
86,3 Series,2011,2.8,181,diesel,,AWD,105069,8.2,22365,184,4,5,sedan,silver,5,no,partial,Germany
87,5 Series,2013,3.3,253,diesel,automatic,RWD,134248,8.3,42030,172,4,5,sedan,blue,3,no,full,UK
88,X5,2014,3.4,300,diesel,automatic,AWD,185413,7.5,57296,150,5,5,suv,blue,4,no,partial,Germany
89,X7,2016,3.1,271,hybrid,automatic,AWD,50558,6,91783,135,5,5,suv,silver,3,yes,full,USA
90,5 Series,2015,2.6,290,hybrid,automatic,AWD,53241,5.6,47397,127,4,5,sedan,black,1,no,full,Turkey
91,X7,2013,,255,hybrid,automatic,AWD,96949,5.6,86715,113,5,5,suv,black,3,no,full,Turkey
92,3 Series,2005,3.5,317,diesel,manual,AWD,278518,8.3,15655,182,4,5,sedan,blue,3,yes,full,Italy
93,i7,2016,0,499,electric,automatic,AWD,147522,0,140849,0,4,5,sedan,blue,1,no,full,Spain
94,i3,2022,0,187,electric,automatic,RWD,27217,0,61653,0,5,4,hatchback,black,2,no,full,France
95,3 Series,2023,3.2,202,hybrid,automatic,AWD,5211,,48754,120,4,5,sedan,black,1,no,full,Germany
96,X7,2021,3.2,232,diesel,automatic,AWD,44291,8.6,121574,,5,5,suv,blue,2,no,full,UK
97,i4,2021,0,350,electric,automatic,RWD,28916,0,69785,0,4,5,coupe,white,2,yes,full,Turkey
98,Z4,2013,2.8,199,petrol,automatic,RWD,174331,8.7,42243,178,2,2,convertible,blue,3,no,full,France
99,1 Series,2021,1.9,145,diesel,automatic,FWD,33060,6.1,25473,156,5,5,hatchback,black,2,no,full,USA
100,X3,2011,3.2,204,petrol,automatic,AWD,231139,8.8,26777,195,5,5,suv,grey,3,yes,full,USA
101,3 Series,2022,2.7,252,petrol,automatic,RWD,27150,8,40382,171,4,5,sedan,white,1,no,partial,Turkey
102,5 Series,2020,2.2,225,diesel,automatic,AWD,61862,6.5,59506,137,4,5,sedan,white,1,no,full,UK
103,X3,2020,2.1,170,diesel,automatic,RWD,48204,6.2,57368,162,5,5,suv,black,2,no,full,France
104,X1,2018,2.2,242,diesel,automatic,AWD,63340,6.5,40921,149,5,5,suv,white,4,no,full,France
105,X5,2006,3.8,321,petrol,automatic,AWD,219042,10.4,48928,233,5,5,suv,silver,3,no,full,USA
106,3 Series,2013,2.1,213,hybrid,automatic,RWD,185827,4.1,24812,97,4,5,sedan,black,3,no,full,Turkey
107,X7,2013,3.8,346,petrol,automatic,AWD,171989,10.3,79435,240,5,5,suv,white,,yes,full,UK
108,X1,2005,1.7,187,hybrid,automatic,FWD,267471,4.6,10617,95,5,5,suv,black,4,yes,partial,USA
109,1 Series,2010,2.9,250,diesel,manual,FWD,167211,7.2,13263,149,3,5,hatchback,white,3,yes,full,France
110,7 Series,2020,4.6,327,petrol,automatic,AWD,82065,11,100640,232,4,5,sedan,black,1,no,full,USA
111,i3,2005,0,195,electric,automatic,RWD,186130,,20727,0,5,4,hatchback,blue,5,no,none,USA
112,7 Series,2018,3.3,240,hybrid,automatic,AWD,94668,6.3,83488,138,4,4,sedan,white,4,no,full,Turkey
113,3 Series,2023,2.3,180,petrol,automatic,AWD,10402,7.5,41753,145,4,5,sedan,black,0,no,full,Italy
114,5 Series,2022,,372,hybrid,automatic,AWD,15739,6.5,67164,144,4,5,sedan,white,0,no,full,USA
115,X1,2013,1.5,224,petrol,automatic,FWD,180389,7.4,29785,177,5,5,suv,white,3,no,full,UK
116,5 Series,2016,,352,hybrid,automatic,RWD,139921,6.6,41366,149,4,5,sedan,blue,2,no,none,Spain
117,i7,2005,0,370,electric,automatic,AWD,300000,0,58522,0,4,4,sedan,grey,3,yes,full,France
118,7 Series,2024,4.9,408,hybrid,automatic,AWD,0,7,115086,159,4,4,sedan,white,0,no,full,Netherlands
119,X3,2011,2.4,260,diesel,automatic,AWD,256609,6.8,25766,137,5,5,suv,,3,yes,none,France
120,X5,2009,4.1,330,diesel,automatic,AWD,95577,8.8,49255,181,5,5,suv,white,2,no,partial,Netherlands
121,1 Series,2008,1.9,184,petrol,manual,RWD,146984,7.7,9059,150,3,4,hatchback,black,2,yes,partial,UK
122,5 Series,2021,4,345,petrol,automatic,AWD,57188,11.1,66266,252,4,5,sedan,grey,,no,full,Germany
123,X3,2023,2.1,214,petrol,automatic,AWD,28168,8.1,56940,183,5,5,suv,white,1,no,partial,France
124,3 Series,2017,2.3,203,petrol,automatic,RWD,139832,9.5,26446,206,4,5,sedan,grey,3,yes,full,Italy
125,3 Series,2018,3,246,petrol,automatic,RWD,81690,9.2,35572,209,4,5,sedan,black,4,no,full,Netherlands
126,3 Series,2008,2.5,281,hybrid,automatic,AWD,300000,4.7,9864,97,4,5,sedan,white,3,no,partial,UK
127,1 Series,2020,,208,petrol,manual,FWD,28878,7.8,24543,167,5,5,hatchback,silver,1,yes,full,UK
128,X3,2015,2.8,250,petrol,automatic,RWD,145934,9.6,35728,209,5,5,suv,grey,3,yes,full,Turkey
129,3 Series,2021,2.6,219,hybrid,automatic,AWD,35659,5,36475,100,4,5,sedan,black,1,no,partial,Spain
130,X5,2011,4.2,351,hybrid,automatic,AWD,138543,7.3,53265,153,5,5,suv,silver,3,yes,full,Germany
131,i4,2021,0,394,electric,automatic,RWD,44766,0,71818,0,4,5,coupe,silver,1,no,partial,France
132,5 Series,2010,3.2,268,petrol,automatic,AWD,223145,9.9,30194,226,4,5,sedan,black,5,yes,full,USA
133,3 Series,2016,2.9,287,diesel,automatic,AWD,149777,8.4,33478,181,4,5,sedan,blue,1,no,partial,Germany
134,3 Series,2018,3.1,345,hybrid,automatic,RWD,127994,6.2,34976,139,4,5,sedan,white,3,no,partial,Netherlands
135,5 Series,2013,2.6,172,petrol,automatic,RWD,72775,8.6,34841,198,4,5,sedan,red,2,yes,full,USA
136,X5,2007,4.1,275,hybrid,automatic,AWD,250313,6.3,39663,137,5,5,suv,black,2,no,partial,Italy
137,3 Series,2018,2.2,269,hybrid,automatic,RWD,58826,5.2,36824,137,4,5,sedan,black,1,no,full,Netherlands
138,i3,2021,0,193,electric,automatic,RWD,36074,0,55756,0,5,4,hatchback,blue,2,no,full,Turkey
139,7 Series,2021,,233,diesel,automatic,AWD,38519,7.6,103275,163,4,4,sedan,silver,1,no,full,France
140,X3,2008,2.8,181,petrol,automatic,RWD,190616,9.6,27533,196,5,5,suv,blue,4,no,partial,UK
141,5 Series,2007,2.3,261,diesel,automatic,RWD,210669,7.9,22549,160,4,5,sedan,white,4,yes,partial,UK
142,7 Series,2007,0,425,electric,automatic,AWD,287035,0,45384,0,4,5,sedan,blue,3,yes,partial,USA
143,i4,2024,0,307,electric,automatic,AWD,0,0,76040,0,4,5,coupe,black,0,no,partial,Spain
144,X1,2015,2.4,213,hybrid,automatic,AWD,155283,4.7,30863,104,5,5,suv,silver,2,no,full,Germany
145,X1,2017,,241,hybrid,automatic,AWD,112211,5,41591,104,5,5,suv,white,1,no,full,USA
146,1 Series,2012,1.5,208,petrol,automatic,RWD,210238,7.1,8000,151,5,4,hatchback,silver,5,yes,partial,Spain
147,Z4,2009,2.9,256,petrol,automatic,RWD,300000,9.1,27814,197,2,2,convertible,white,2,no,partial,Netherlands
148,5 Series,2023,3,292,diesel,automatic,RWD,22053,7.8,70354,179,4,5,sedan,blue,0,no,full,Netherlands
149,X1,2021,1.8,136,petrol,automatic,FWD,82254,7.6,39163,168,5,5,suv,grey,1,no,full,USA
150,3 Series,2008,3.3,288,diesel,automatic,RWD,185803,8.9,18292,187,4,5,sedan,blue,4,no,none,UK
151,Z4,2024,2.4,253,petrol,automatic,RWD,0,9.1,71594,203,2,2,convertible,silver,0,no,,UK
152,X7,2023,3.8,268,diesel,automatic,AWD,11471,8.6,127284,172,5,5,suv,silver,0,no,partial,Germany
153,3 Series,2019,3,321,diesel,automatic,RWD,75127,7.6,41119,167,4,5,sedan,red,4,no,full,Netherlands
154,X1,2015,2.3,188,hybrid,automatic,FWD,148349,4.7,27551,106,5,5,suv,grey,1,yes,full,France
155,1 Series,2018,2.7,214,diesel,automatic,FWD,63474,7.2,26959,159,3,4,hatchback,,1,no,full,Germany
156,X5,2018,,293,diesel,automatic,AWD,120628,8.5,75616,181,5,5,suv,black,1,no,full,Turkey
157,X7,2023,4,357,petrol,automatic,AWD,20374,10.3,144280,234,5,5,suv,white,0,no,full,Germany
158,Z4,2006,2.8,216,petrol,automatic,RWD,276851,9,22605,207,2,2,convertible,black,4,yes,full,Spain
159,5 Series,2022,3.8,280,hybrid,automatic,RWD,39998,6.4,58363,137,4,5,sedan,silver,1,no,full,Italy
160,X5,2011,3.2,278,petrol,automatic,AWD,243559,9.3,42300,190,5,5,suv,white,3,no,none,Netherlands
161,X5,2017,3.3,267,petrol,,AWD,68659,10.1,64286,229,5,5,suv,red,2,no,partial,France
162,7 Series,2012,3.4,316,diesel,automatic,AWD,201911,8.5,55975,186,4,4,sedan,white,4,yes,partial,UK
163,7 Series,2018,0,460,electric,automatic,AWD,94628,0,92539,0,4,4,sedan,white,2,no,full,Netherlands
164,3 Series,2013,2.4,209,diesel,manual,RWD,101966,7.4,29443,170,4,5,sedan,black,2,no,full,USA
165,X3,2024,3.5,339,hybrid,automatic,RWD,5919,6.2,78629,141,5,5,suv,black,1,no,full,UK
166,3 Series,2018,2.9,297,hybrid,automatic,AWD,129869,5.3,37131,131,4,5,sedan,black,1,no,full,USA
167,X5,2019,3.8,328,diesel,automatic,AWD,65752,8.6,78788,180,5,5,suv,black,1,no,full,USA
168,5 Series,2022,4.1,358,petrol,automatic,AWD,36303,10.6,60866,230,4,5,sedan,white,0,yes,full,Spain
169,3 Series,2018,2.2,194,hybrid,automatic,AWD,70591,4.9,31134,118,4,5,sedan,white,3,no,partial,USA
170,1 Series,2019,1.9,225,petrol,automatic,RWD,64771,7.4,22814,157,3,4,hatchback,silver,2,no,partial,USA
171,3 Series,2021,1.8,172,petrol,automatic,AWD,62373,7.3,36029,159,4,5,sedan,blue,1,no,full,Germany
172,5 Series,2021,3.4,317,diesel,automatic,RWD,48748,9.3,50066,193,4,5,sedan,white,1,yes,full,France
173,3 Series,2019,2.3,201,petrol,automatic,RWD,55853,7.9,32505,194,4,5,sedan,red,1,no,partial,France
174,3 Series,2013,2.4,285,petrol,automatic,AWD,131775,7.9,29180,195,4,5,sedan,white,2,no,partial,Italy
175,X3,2013,2.3,304,hybrid,automatic,RWD,145576,5.5,35217,116,5,5,suv,white,3,no,none,Spain
176,1 Series,2008,1.9,174,petrol,automatic,RWD,182727,7.6,8740,172,5,4,hatchback,silver,,no,full,Spain
177,3 Series,2020,2.1,194,petrol,automatic,AWD,93084,8.5,33301,179,4,5,sedan,silver,0,no,partial,UK
178,X5,2021,3.1,267,diesel,automatic,AWD,48133,8.2,78114,199,5,5,suv,black,2,no,full,Netherlands
179,X3,2014,,182,hybrid,automatic,RWD,154056,4.7,29590,110,5,5,suv,grey,4,yes,partial,Germany
180,X3,2024,3,340,diesel,automatic,AWD,0,8.4,62642,194,5,5,suv,black,0,no,full,Turkey
181,X5,2023,3.4,275,petrol,automatic,AWD,4420,9.1,100463,203,5,5,suv,white,0,no,full,USA
182,X3,2024,2,178,hybrid,automatic,RWD,0,5.1,64130,122,5,5,suv,blue,0,no,full,UK
183,X7,2021,4,348,diesel,automatic,AWD,37743,9.4,101149,206,5,5,suv,white,,yes,full,UK
184,5 Series,2014,4.2,323,petrol,automatic,AWD,94442,11.5,34443,259,4,5,sedan,blue,3,no,none,Turkey
185,X7,2008,3.8,350,hybrid,automatic,AWD,129734,6.2,60278,133,5,5,suv,white,2,yes,partial,UK
186,X3,2021,3.2,325,diesel,automatic,AWD,54120,8.4,55442,182,5,5,suv,black,1,yes,full,Netherlands
187,5 Series,2021,3.4,376,diesel,automatic,RWD,65288,7.9,59906,157,4,5,sedan,black,2,no,full,France
188,1 Series,2019,,246,petrol,automatic,RWD,108585,9.6,21218,201,5,4,hatchback,black,1,yes,full,Netherlands
189,Z4,2017,2.2,248,petrol,automatic,RWD,97437,7.8,50563,186,2,2,convertible,white,2,no,full,Spain
190,3 Series,2017,3.1,315,diesel,automatic,AWD,94883,7.3,33153,150,4,5,sedan,white,2,no,partial,Turkey
191,X3,2019,2.5,221,diesel,automatic,AWD,73442,7,42483,159,5,5,suv,black,3,yes,full,Spain
192,i4,2013,0,587,electric,automatic,RWD,197438,0,55530,0,4,5,coupe,silver,3,no,partial,Turkey
193,1 Series,2021,1.6,127,hybrid,automatic,FWD,56580,4.5,22923,102,3,5,hatchback,red,2,no,full,Turkey
194,1 Series,2013,1.8,136,diesel,manual,RWD,186096,6.1,8528,137,5,4,hatchback,silver,2,no,none,USA
195,3 Series,2007,2.2,220,petrol,manual,AWD,84756,7.6,19045,172,4,5,sedan,white,5,yes,partial,Spain
196,1 Series,2006,3,260,hybrid,automatic,RWD,300000,5.4,9024,118,3,4,hatchback,blue,4,no,full,UK
197,X1,2015,1.9,140,diesel,automatic,AWD,119767,6.7,28123,141,5,5,suv,blue,3,no,partial,USA
198,X3,2005,,220,hybrid,automatic,RWD,241115,5.9,23523,131,5,5,suv,red,3,no,full,USA
199,X7,2020,4.3,389,diesel,automatic,AWD,47950,9.5,124593,210,5,5,suv,silver,0,no,full,UK
200,X1,2016,1.7,164,hybrid,automatic,FWD,148769,4.3,30452,80,5,5,suv,black,3,no,full,Spain
201,Z4,2012,2.3,173,petrol,automatic,RWD,300000,7.1,29458,169,2,2,convertible,silver,3,,full,Italy
202,X1,2021,2.4,259,diesel,automatic,AWD,73879,7.6,48594,177,5,5,suv,red,1,no,full,USA
203,3 Series,2021,1.7,171,petrol,automatic,AWD,70478,6.7,32762,149,4,5,sedan,white,1,no,partial,France
204,i7,2023,0,458,electric,automatic,AWD,18987,0,172939,0,4,5,sedan,black,0,no,partial,Netherlands
205,5 Series,2019,4.1,402,petrol,,AWD,108630,11.2,55731,234,4,5,sedan,silver,1,no,partial,Spain
206,X3,2011,3.4,271,petrol,automatic,RWD,219341,9.1,33133,210,5,5,suv,black,4,no,full,Spain
207,5 Series,2015,2.6,301,petrol,automatic,AWD,92678,9.3,50588,211,4,5,sedan,black,1,no,partial,UK
208,X3,2012,2.3,224,petrol,automatic,RWD,180378,9.4,32898,198,5,5,suv,white,3,no,none,UK
209,3 Series,2016,2.5,284,petrol,manual,AWD,87475,8.7,31861,199,4,5,sedan,silver,1,no,partial,UK
210,7 Series,2023,4.1,389,petrol,automatic,RWD,16022,10.8,102724,,4,5,sedan,blue,1,no,none,France
211,X7,2024,3.9,327,diesel,,AWD,0,9.7,135854,216,5,5,suv,grey,0,no,full,France
212,3 Series,2024,3,279,petrol,automatic,RWD,7479,9.5,44956,207,4,5,sedan,black,0,no,partial,Netherlands
213,X5,2017,3.5,310,petrol,automatic,AWD,126688,10.3,72543,209,5,5,suv,white,1,no,full,France
214,i4,2024,0,361,electric,automatic,AWD,5129,0,97855,0,4,5,coupe,white,0,no,full,Germany
215,i3,2024,0,179,electric,automatic,RWD,0,0,55829,0,5,4,hatchback,black,0,yes,full,Turkey
216,5 Series,2005,,276,petrol,automatic,RWD,300000,9.1,23644,201,4,5,sedan,grey,4,no,full,Turkey
217,5 Series,2020,4,327,diesel,automatic,RWD,46112,9.9,60614,212,4,5,sedan,black,1,no,full,Spain
218,5 Series,2016,2.1,185,hybrid,automatic,AWD,122686,4.7,37554,99,4,5,sedan,silver,4,no,partial,Spain
219,5 Series,2015,3.4,330,hybrid,automatic,RWD,181570,,41392,120,4,5,sedan,black,2,no,none,Netherlands
220,X1,2015,,236,hybrid,automatic,FWD,81813,4.4,39225,113,5,5,suv,black,2,no,partial,France
221,Z4,2024,2.3,210,petrol,automatic,RWD,0,8.4,73005,194,2,2,convertible,silver,,no,full,Spain
222,X1,2015,2.3,219,diesel,automatic,AWD,161149,6.8,30498,158,5,5,suv,red,2,no,full,France
223,Z4,2014,2.9,236,petrol,automatic,RWD,169619,,46488,195,2,2,convertible,silver,2,no,full,Italy
224,X1,2008,1.7,153,diesel,automatic,FWD,138345,6.2,17094,120,5,5,suv,black,5,yes,partial,UK
225,i7,2024,0,620,electric,automatic,RWD,6754,0,200620,0,4,5,sedan,silver,0,no,full,USA
226,3 Series,2018,1.7,222,hybrid,manual,RWD,79742,4.3,38850,92,4,5,sedan,white,2,no,full,USA
227,i7,2016,0,528,electric,automatic,AWD,125583,0,131898,0,4,4,sedan,black,,no,full,Germany
228,X1,2011,1.7,168,petrol,automatic,FWD,159555,7.6,26174,170,5,5,suv,black,3,no,full,Netherlands
229,5 Series,2023,3.9,371,diesel,automatic,RWD,30335,9.4,65858,207,4,5,sedan,white,0,no,full,Spain
230,X7,2016,3.2,259,diesel,automatic,AWD,205024,7.9,85077,174,5,5,suv,blue,4,no,full,Netherlands
231,i4,2015,0,276,electric,automatic,RWD,85284,0,57271,0,4,5,coupe,silver,1,no,full,Turkey
232,X3,2016,2,191,hybrid,automatic,RWD,90715,4.4,43309,91,5,5,suv,white,1,no,full,France
233,3 Series,2008,3.1,254,diesel,manual,RWD,300000,9,17492,211,4,5,sedan,grey,3,no,partial,USA
234,X5,2023,3.5,339,diesel,automatic,AWD,13617,8.7,90627,195,5,5,suv,silver,1,no,full,Italy
235,i7,2010,0,523,electric,,RWD,166291,0,91633,0,4,4,sedan,blue,4,yes,partial,USA
236,X7,2015,3.7,313,diesel,automatic,AWD,148144,8.8,85496,197,5,5,suv,silver,2,no,full,France
237,i3,2007,0,164,electric,automatic,RWD,209103,0,17688,0,5,4,hatchback,white,5,yes,partial,Italy
